word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
when|MOHINDER|heroes_s2_5_eng_aligned.segment20.word1|0.0|0.12|0.12|1.96|0.0|NA|||118.0|63.0|0.0458|0.8244
confronted|MOHINDER|heroes_s2_5_eng_aligned.segment20.word2|0.12|0.67|0.55|0.0|0.0|NA|||107.0|63.0|-1.6483|0.8244
by|MOHINDER|heroes_s2_5_eng_aligned.segment20.word3|0.67|0.84|0.17|0.0|0.0|NA|||133.0|64.0|2.1174|1.097
our|MOHINDER|heroes_s2_5_eng_aligned.segment20.word4|0.84|0.98|0.14|0.0|0.0|NA|||80.0|65.0|-6.6828|1.3654
worst|MOHINDER|heroes_s2_5_eng_aligned.segment20.word5|0.98|1.3|0.32|0.0|0.0|NA|||84.0|60.0|-5.8381|-0.0203
nightmares|MOHINDER|heroes_s2_5_eng_aligned.segment20.word6|1.3|1.87|0.57|0.0|0.61|NA||...|87.0|61.0|-5.2306|0.2659
the|MOHINDER|heroes_s2_5_eng_aligned.segment20.word7|2.48|2.58|0.1|0.61|0.0|NA|||0.0|0.0|0.0|0.0
choices|MOHINDER|heroes_s2_5_eng_aligned.segment20.word8|2.58|3.03|0.45|0.0|0.0|NA|||92.0|61.0|-4.2632|0.2659
are|MOHINDER|heroes_s2_5_eng_aligned.segment20.word9|3.03|3.06|0.03|0.0|0.0|NA|||93.0|62.0|-4.076|0.5474
few|MOHINDER|heroes_s2_5_eng_aligned.segment20.word10|3.06|3.5|0.44|0.0|0.99|NA||.|91.0|57.0|-4.4524|-0.9083
